Id,Burg,Province,Province Full Name,State,State Full Name,Culture,Religion,Population,Latitude,Longitude,Elevation (ft),Capital,Port,Citadel,Walls,Plaza,Temple,Shanty Town,City Generator Link
1,Nigy,Nigy,Nigy Parish,Chadonia,Divine Duchy of Chadonia,Luari,Nozie Cult,64527,20.91,-63.32,397,capital,,citadel,walls,plaza,temple,shanty town,https://watabou.github.io/city-generator/?name=Nigy&population=64527&size=63&seed=8827550800001&river=1&coast=0&farms=1&citadel=1&urban_castle=0&hub=false&plaza=1&temple=1&walls=1&shantytown=1&gates=-1
2,Auiersoy,Auiersoy,Auiersoy County,Auiersia,Principality of Auiersia,Luari,Nozie Cult,42917,21.82,-70.84,30,capital,,citadel,walls,plaza,temple,shanty town,https://watabou.github.io/city-generator/?name=Auiersoy&population=42917&size=54&seed=8827550800002&river=1&coast=0&farms=1&citadel=1&urban_castle=1&hub=false&plaza=1&temple=1&walls=1&shantytown=1&gates=-1
3,Gives,Ences,Ences Earldom,Viliersasia,Kingdom of Viliersasia,Luari,Nozie Cult,7359,15.7,-57.98,161,capital,port,citadel,walls,plaza,,,https://watabou.github.io/city-generator/?name=Gives&population=7359&size=28&seed=8827550800003&river=1&coast=1&farms=1&citadel=1&urban_castle=0&hub=false&plaza=1&temple=0&walls=1&shantytown=0&gates=-1&sea=0.29
4,Ferdon,Ferdon,Ferdon County,Egnia,Egnian Marches,Luari,Nozie Cult,6236,13.04,-64.41,118,capital,port,citadel,walls,,,,https://watabou.github.io/city-generator/?name=Ferdon&population=6236&size=26&seed=8827550800004&river=1&coast=1&farms=1&citadel=1&urban_castle=1&hub=false&plaza=0&temple=0&walls=1&shantytown=0&gates=-1&sea=0.13
5,Horzueria,Horzueria,Horzueria Canton,Lonalejasia,Republic of Lonalejasia,Astellian,Astellian Faith,24648,-20.04,73.1,52,capital,,citadel,walls,,,shanty town,https://watabou.github.io/city-generator/?name=Horzueria&population=24648&size=44&seed=8827550800005&river=1&coast=0&farms=1&citadel=1&urban_castle=0&hub=false&plaza=0&temple=0&walls=1&shantytown=1&gates=-1
6,Belinola,Mentia,Mentia Landgrave,Belinola,Kingdom of Belinola,Tallian,Word of Acuso,45562,7.53,-22.53,52,capital,port,citadel,walls,plaza,temple,shanty town,https://watabou.github.io/city-generator/?name=Belinola&population=45562&size=55&seed=8827550800006&river=1&coast=1&farms=1&citadel=1&urban_castle=1&hub=false&plaza=1&temple=1&walls=1&shantytown=1&gates=-1&sea=1.35
7,Zubruisk,Zubruisk,Zubruisk Province,Zubria,Republic of Zubria,Slovan,Word of Acuso,5714,1.4,-55.46,210,capital,port,citadel,walls,,,,https://watabou.github.io/city-generator/?name=Zubruisk&population=5714&size=25&seed=8827550800007&river=1&coast=1&farms=1&citadel=1&urban_castle=0&hub=false&plaza=0&temple=0&walls=1&shantytown=0&gates=-1&sea=1.66
8,Somincia,Heria,Heria Canton,Alcaucia,Republic of Alcaucia,Astellian,Astellian Faith,4745,-8.17,70.9,118,capital,,citadel,walls,plaza,,,https://watabou.github.io/city-generator/?name=Somincia&population=4745&size=23&seed=8827550800008&river=1&coast=0&farms=1&citadel=1&urban_castle=1&hub=false&plaza=1&temple=0&walls=1&shantytown=0&gates=-1
9,Klauka,Numevitmaa,Numevitmaa County,Klaukmaa,Principality of Klaukmaa,Soumi,Novimism,43578,32.71,-1.79,13,capital,port,citadel,walls,plaza,,,https://watabou.github.io/city-generator/?name=Klauka&population=43578&size=54&seed=8827550800009&river=1&coast=1&farms=1&citadel=1&urban_castle=0&hub=false&plaza=1&temple=0&walls=1&shantytown=0&gates=-1&sea=1.1
10,Leton,Daria,Daria Parish,Chip,Chip Theocracy,Angshire,Guildendalese Church,3515,18.57,52.96,738,capital,,citadel,walls,,temple,,https://watabou.github.io/city-generator/?name=Leton&population=3515&size=21&seed=8827550800010&river=1&coast=0&farms=1&citadel=1&urban_castle=1&hub=false&plaza=0&temple=1&walls=1&shantytown=0&gates=-1
11,Alarares,Alarares,Alarares County,Torbantia,Kingdom of Torbantia,Astellian,Hergesian Coterie,29212,17.42,61.8,13,capital,port,citadel,walls,,,,https://watabou.github.io/city-generator/?name=Alarares&population=29212&size=46&seed=8827550800011&river=1&coast=1&farms=1&citadel=1&urban_castle=0&hub=false&plaza=0&temple=0&walls=1&shantytown=0&gates=-1&sea=0.97
12,Gortexand,Gortexand,Gortexand Canton,Aphosia,Heptarchy of Aphosia,Elladan,Nozie Cult,3715,7.91,-79.83,472,capital,,citadel,walls,,,,https://watabou.github.io/city-generator/?name=Gortexand&population=3715&size=21&seed=8827550800012&river=1&coast=0&farms=1&citadel=1&urban_castle=1&hub=false&plaza=0&temple=0&walls=1&shantytown=0&gates=-1
13,Nesploy,Artevanvil,Artevanvil Province,Nesplia,Republic of Nesplia,Luari,Nozie Cult,34032,12.77,-76.76,472,capital,port,citadel,walls,plaza,,shanty town,https://watabou.github.io/city-generator/?name=Nesploy&population=34032&size=49&seed=8827550800013&river=1&coast=1&farms=1&citadel=1&urban_castle=0&hub=false&plaza=1&temple=0&walls=1&shantytown=1&gates=-1&sea=1.87
14,Bougy,Piertinvil,Piertinvil Earldom,Crarigneia,Kingdom of Crarigneia,Luari,Nozie Cult,3196,33.59,-44.89,13,capital,,citadel,walls,,,,https://watabou.github.io/city-generator/?name=Bougy&population=3196&size=20&seed=8827550800014&river=1&coast=0&farms=1&citadel=1&urban_castle=1&hub=false&plaza=0&temple=0&walls=1&shantytown=0&gates=-1
15,Lepatas,Lepatas,Lepatas Captaincy,Pane,Protectorate of Pane,Soumi,Novimism,42828,18.92,-12.8,118,capital,port,citadel,walls,plaza,temple,shanty town,https://watabou.github.io/city-generator/?name=Lepatas&population=42828&size=54&seed=8827550800015&river=1&coast=1&farms=1&citadel=1&urban_castle=0&hub=false&plaza=1&temple=1&walls=1&shantytown=1&gates=-1&sea=1.3
16,Altin,Altin,Altin County,Heilerten,Protectorate of Heilerten,Shwazen,Novimism,5230,31.16,33.26,118,capital,port,citadel,walls,,,,https://watabou.github.io/city-generator/?name=Altin&population=5230&size=24&seed=8827550800016&river=1&coast=1&farms=1&citadel=1&urban_castle=1&hub=false&plaza=0&temple=0&walls=1&shantytown=0&gates=-1&sea=0.93
17,Wieben,Stebachenia,Stebachenia Earldom,Bienaunin,Principality of Bienaunin,Shwazen,Novimism,29765,27.78,19.21,30,capital,,citadel,walls,plaza,,,https://watabou.github.io/city-generator/?name=Wieben&population=29765&size=47&seed=8827550800017&river=1&coast=0&farms=1&citadel=1&urban_castle=0&hub=false&plaza=1&temple=0&walls=1&shantytown=0&gates=-1
18,Alo,Olbamuria,Olbamuria Department,Luquedia,Most Serene Republic of Luquedia,Astellian,Hergesian Coterie,31537,27.24,69.57,13,capital,port,citadel,walls,plaza,,,https://watabou.github.io/city-generator/?name=Alo&population=31537&size=48&seed=8827550800018&river=1&coast=1&farms=1&citadel=1&urban_castle=1&hub=false&plaza=1&temple=0&walls=1&shantytown=0&gates=-1&sea=1.72
19,Thegeleu,Kyrian,Kyrian Parish,Orchomenia,Patriarchate of Orchomenia,Elladan,Rechinok Pantheon,33313,-3.22,-82.9,948,capital,port,citadel,walls,plaza,temple,,https://watabou.github.io/city-generator/?name=Thegeleu&population=33313&size=49&seed=8827550800019&river=1&coast=1&farms=1&citadel=1&urban_castle=0&hub=false&plaza=1&temple=1&walls=1&shantytown=0&gates=-1&sea=0.44
20,Porvinen,Misa,Misa County,Porvaval,Porvavalese Empire,Soumi,Novimism,10366,33.51,-12.55,13,capital,,citadel,walls,plaza,,,https://watabou.github.io/city-generator/?name=Porvinen&population=10366&size=31&seed=8827550800020&river=0&coast=0&farms=1&citadel=1&urban_castle=1&hub=false&plaza=1&temple=0&walls=1&shantytown=0&gates=-1
21,Hepiral,Hepiral,Hepiral County,Cosomotia,Duchy of Cosomotia,Astellian,Astellian Faith,3729,30.38,76.11,13,capital,port,citadel,walls,plaza,,,https://watabou.github.io/city-generator/?name=Hepiral&population=3729&size=21&seed=8827550800021&river=1&coast=1&farms=1&citadel=1&urban_castle=0&hub=false&plaza=1&temple=0&walls=1&shantytown=0&gates=-1&sea=0.37
22,Rebrevan,Sceresdesia,Sceresdesia County,Viliersasia,Kingdom of Viliersasia,Luari,Nozie Cult,33810,19.71,-60.89,210,,,citadel,walls,plaza,,,https://watabou.github.io/city-generator/?name=Rebrevan&population=33810&size=49&seed=8827550800022&river=1&coast=0&farms=1&citadel=1&urban_castle=1&hub=false&plaza=1&temple=0&walls=1&shantytown=0&gates=-1
23,Tortomalore,Pinia,Pinia Canton,Alcaucia,Republic of Alcaucia,Astellian,Astellian Faith,6424,-6.91,77.3,30,,,citadel,,plaza,,,https://watabou.github.io/city-generator/?name=Tortomalore&population=6424&size=26&seed=8827550800023&river=1&coast=0&farms=0&citadel=1&urban_castle=0&hub=false&plaza=1&temple=0&walls=0&shantytown=0&gates=-1
24,Robledala,Letilesia,Letilesia Department,Lonalejasia,Republic of Lonalejasia,Astellian,Astellian Faith,9871,-18.34,72.8,118,,,,walls,,,,https://watabou.github.io/city-generator/?name=Robledala&population=9871&size=31&seed=8827550800024&river=1&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=0&temple=0&walls=1&shantytown=0&gates=-1
25,Urala,Urala,Urala Shire,Torbantia,Kingdom of Torbantia,Astellian,Hergesian Coterie,16552,12.3,60.86,738,,,citadel,walls,,,,https://watabou.github.io/city-generator/?name=Urala&population=16552&size=37&seed=8827550800025&river=1&coast=0&farms=1&citadel=1&urban_castle=0&hub=false&plaza=0&temple=0&walls=1&shantytown=0&gates=-1
26,Gourna,Myrgos,Myrgos Parish,Orchomenia,Patriarchate of Orchomenia,Elladan,Rechinok Pantheon,2012,4.18,-84.33,948,,,,walls,,temple,,https://watabou.github.io/city-generator/?name=Gourna&population=2012&size=17&seed=8827550800026&river=1&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=0&temple=1&walls=1&shantytown=0&gates=-1
27,Isksa,Paalalojak,Paalalojak County,Klaukmaa,Principality of Klaukmaa,Soumi,Novimism,8391,20.41,-2.44,210,,port,,,,,,https://watabou.github.io/city-generator/?name=Isksa&population=8391&size=29&seed=8827550800027&river=0&coast=1&farms=1&citadel=0&urban_castle=0&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1&sea=0.89
28,Esboafiel,Areibeiras,Areibeiras Province,Nesplia,Republic of Nesplia,Portuzian,Nozie Cult,16652,15.44,-83.66,266,,,,walls,,,,https://watabou.github.io/city-generator/?name=Esboafiel&population=16652&size=38&seed=8827550800028&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=0&temple=0&walls=1&shantytown=0&gates=-1
