Id,Province,Full Name,Form,State,Color,Capital,Area mi2,Total Population,Rural Population,Urban Population
1,Nigy,Nigy Parish,Parish,Chadonia,#82babb,Nigy,303174,358041,287701,70340
2,Gondroy,Gondroy Parish,Parish,Chadonia,#92bcb2,Gondroy,85059,101587,83402,18185
3,Auiersoy,Auiersoy County,County,Auiersia,#ffad64,Auiersoy,588195,694684,626786,67898
4,Vilia,Vilia County,County,Auiersia,#e7a686,Aulleude,392049,512815,458795,54020
5,Ouvilerolia,Ouvilerolia County,County,Auiersia,#e7b079,Charoy,212940,281765,234990,46775
6,Channes,Channes County,County,Auiersia,#ff8b7f,Channes,35388,77074,56679,20395
7,Anerolonia,Anerolonia Margrave,Margrave,Auiersia,#ffb36b,Vitratessas,21312,51762,34522,17240
8,Ences,Ences Earldom,Earldom,Viliersasia,#b5afc1,Gives,145116,150465,139144,11321
9,Sceresdesia,Sceresdesia County,County,Viliersasia,#91c5cb,Rebrevan,374679,320539,265935,54604
10,Sperganelia,Sperganelia County,County,Viliersasia,#8cc5ce,Maronero,304344,375152,330159,44993
11,Freuil,Freuil County,County,Viliersasia,#92a2e3,Freuil,85491,115761,87841,27920
12,Monta,Monta Captaincy,Captaincy,Viliersasia,#8aaee6,Monta,37350,48655,34096,14559
13,Pioljanky,Pioljanky Landgrave,Landgrave,Viliersasia,#969ddb,Pioljanky,1219095,610436,572101,38335
14,Ferdon,Ferdon County,County,Egnia,#f089d6,Ferdon,280485,215953,208589,7364
15,Gienteautiers,Gienteautiers County,County,Egnia,#f5b0c2,Gienteautiers,49527,97704,57438,40266
16,Horzueria,Horzueria Canton,Canton,Lonalejasia,#b0f75f,Horzueria,212454,245824,207133,38691
17,Alas,Alas Province,Province,Lonalejasia,#abd074,Ogollosove,317628,237709,195371,42338
18,Letilesia,Letilesia Department,Department,Lonalejasia,#c1ce70,Robledala,125001,189611,155492,34119
19,Mentia,Mentia Landgrave,Landgrave,Belinola,#eef647,Belinola,325908,220967,165267,55700
20,Rinolania,Rinolania Margrave,Margrave,Belinola,#ffcf4e,Rontinovilfa,439812,402462,359153,43309
21,Posaragos,Posaragos County,County,Belinola,#eee25b,Posaragos,272664,194726,173202,21524
22,Karkmovia,Karkmovia Margrave,Margrave,Belinola,#ffda3b,Varkola,146007,112970,94206,18764
23,Zubruisk,Zubruisk Province,Province,Zubria,#78dac1,Zubruisk,299628,359666,320221,39445
24,Svislavl,Svislavl Province,Province,Zubria,#6fe6c9,Torch,10368,28198,11991,16207
25,Korshe,Korshe Department,Department,Zubria,#74e1c7,Korshe,287793,163831,137563,26268
26,Heria,Heria Canton,Canton,Alcaucia,#fc9e7e,Somincia,236583,373547,349023,24524
27,Lucera,Lucera Canton,Canton,Alcaucia,#ffb462,Lucera,598572,612063,571626,40437
28,Drieladia,Drieladia Canton,Canton,Alcaucia,#ffa175,Valza,146268,168767,133414,35353
29,Lovenalia,Lovenalia Department,Department,Alcaucia,#ffa270,Mosoranda,152316,107246,70085,37161
30,Pinia,Pinia Canton,Canton,Alcaucia,#ffc165,Cados,223911,399567,339140,60427
31,Alasia,Alasia Canton,Canton,Alcaucia,#ecc477,Parreallo,39825,33226,20785,12441
32,Bargostabia,Bargostabia Canton,Canton,Alcaucia,#ebb788,Buscuebol,333855,361510,330915,30595
33,Italirueron,Italirueron Canton,Canton,Alcaucia,#e9bb83,Italirueron,164637,94796,81144,13652
34,Numevitmaa,Numevitmaa County,County,Klaukmaa,#80dae6,Klauka,263277,327661,260884,66777
35,Paalalojak,Paalalojak County,County,Klaukmaa,#83e3d9,Paalalojak,292806,426884,375560,51324
36,Milasavia,Milasavia County,County,Klaukmaa,#b2bfd7,Laura,105984,186772,161612,25160
37,Tampaa,Tampaa County,County,Klaukmaa,#b3c9c9,Tampaa,230328,316214,287413,28801
38,Tulpalota,Tulpalota County,County,Klaukmaa,#b3c7cc,Tulpalota,196002,144297,125497,18800
39,Keurenmaa,Keurenmaa Earldom,Earldom,Klaukmaa,#88e4d3,Rainikve,192258,337385,297733,39652
40,Rapsala,Rapsala County,County,Klaukmaa,#b1d2c5,Keuni,143658,236122,189226,46896
41,Daria,Daria Parish,Parish,Chip,#f98edb,Leton,541440,662080,632944,29136
42,Lesia,Lesia Parish,Parish,Chip,#ff93c6,Whitford,546795,763585,672774,90811
43,Malisin,Malisin Parish,Parish,Chip,#ff96c3,Malisin,307989,315442,273732,41710
44,Guildhurst,Guildhurst Parish,Parish,Chip,#ffa4bb,Guildhurst,170811,322066,259597,62469
45,Shifnalbor,Shifnalbor Parish,Parish,Chip,#ff8bd8,Shifnalbor,49968,113366,90861,22505
46,Wiver,Wiver Parish,Parish,Chip,#ffb2c4,Kiveton,31122,70869,49646,21223
47,Wargia,Wargia Parish,Parish,Chip,#f0b3cc,Watchwark,550386,309958,287818,22140
48,Berpor,Berpor Parish,Parish,Chip,#ee9de3,Berpor,54234,108031,94347,13684
49,Brasmouthia,Brasmouthia Parish,Parish,Chip,#ff8bd9,Durmingmo,153180,240716,205994,34722
50,Alarares,Alarares County,County,Torbantia,#ead074,Alarares,606312,793632,688064,105568
51,Ilbentia,Ilbentia County,County,Torbantia,#eed26f,Songo,492345,507433,440329,67104
52,Rinones,Rinones County,County,Torbantia,#c8f869,Rinones,127377,228201,192517,35684
53,Zaorejope,Zaorejope County,County,Torbantia,#ccd67e,Zaorejope,252585,401968,356793,45175
54,Sivias,Sivias Captaincy,Captaincy,Torbantia,#e4f05d,Sivias,337959,360719,324249,36470
55,Urala,Urala Shire,Shire,Torbantia,#d3d078,Urala,69498,78524,61972,16552
56,Polidamo,Polidamo Barony,Barony,Torbantia,#d5d078,Polidamo,78579,145053,128505,16548
57,Gortexand,Gortexand Canton,Canton,Aphosia,#f2f869,Gortexand,238653,305440,265311,40129
58,Hia,Hia Council,Council,Aphosia,#fcea5c,Thyria,51651,117438,80711,36727
59,Artevanvil,Artevanvil Province,Province,Nesplia,#97d0bc,Nesploy,534897,628670,529105,99565
60,Boignevilia,Boignevilia Province,Province,Nesplia,#66d7e0,Bellecy,51579,76001,57552,18449
61,Gradafielia,Gradafielia Province,Province,Nesplia,#78e7c4,Felheus,147573,275555,234611,40944
62,Aulles,Aulles Province,Province,Nesplia,#84bed7,Aulles,135072,234375,188724,45651
63,Areibeiras,Areibeiras Province,Province,Nesplia,#86e5c3,Areibeiras,221328,371117,324289,46828
64,Piertinvil,Piertinvil Earldom,Earldom,Crarigneia,#ffb063,Bougy,149373,232075,223662,8413
65,Montcrigre,Montcrigre County,County,Crarigneia,#eac27a,Narville,979443,536648,495853,40795
66,Karkkanie,Karkkanie County,County,Crarigneia,#ffc368,Karkkanie,154548,191815,170238,21577
67,Charoy,Charoy County,County,Crarigneia,#ffbd63,Charoy,517707,462240,423578,38662
68,Thouy,Thouy County,County,Crarigneia,#e9bf7e,Thouy,308925,373180,338359,34821
69,Sercy,Sercy County,County,Crarigneia,#e9bb83,Sercy,7110,28197,11930,16267
70,Lombrechienne,Lombrechienne County,County,Crarigneia,#ff9e79,Lombrechienne,173205,254466,223428,31038
71,Lepatas,Lepatas Captaincy,Captaincy,Pane,#a9c1dc,Lepatas,264258,225297,180664,44633
72,Nikka,Nikka County,County,Pane,#d79cdb,Nikka,336762,464926,409618,55308
73,Altin,Altin County,County,Heilerten,#dccf78,Altin,237240,382304,353496,28808
74,Betleyles,Betleyles County,County,Heilerten,#bdea80,Draxning,503280,452305,405565,46740
75,Freutern,Freutern County,County,Heilerten,#c7da82,Freutern,60948,106297,78928,27369
76,Stebachenia,Stebachenia Earldom,Earldom,Bienaunin,#fff23d,Wieben,294867,504716,441035,63681
77,Braun,Braun Seneschalty,Seneschalty,Bienaunin,#eaf657,Dachstettnau,41229,84373,63233,21140
78,Wildrachia,Wildrachia Seneschalty,Seneschalty,Bienaunin,#e9f559,Friederied,169515,278820,253419,25401
79,Schwenbachia,Schwenbachia Seneschalty,Seneschalty,Bienaunin,#fad55b,Haiternberg,170199,177752,156147,21605
80,Hunausen,Hunausen Seneschalty,Seneschalty,Bienaunin,#fffa46,Hunausen,312669,375647,352874,22773
81,Olbamuria,Olbamuria Department,Department,Luquedia,#ffc865,Alo,325368,520553,441898,78655
82,Nobragatil,Nobragatil Department,Department,Luquedia,#f2ef5d,Nobragatil,18081,39760,25432,14328
83,Kyrian,Kyrian Parish,Parish,Orchomenia,#e0d581,Thegeleu,269955,397896,351106,46790
84,Losvia,Losvia Parish,Parish,Orchomenia,#ffad8c,Zanev,504945,361475,305259,56216
85,Poreos,Poreos Parish,Parish,Orchomenia,#e9ae91,Poreos,107073,176903,152429,24474
86,Pereremia,Pereremia Parish,Parish,Orchomenia,#ffc773,Vemilgov,62073,85915,62779,23136
87,Pithumna,Pithumna Parish,Parish,Orchomenia,#ffb083,Pithumna,247878,293931,270981,22950
88,Ponion,Ponion Parish,Parish,Orchomenia,#eaad8e,Plaris,208404,238790,220397,18393
89,Myrgos,Myrgos Parish,Parish,Orchomenia,#d7cc93,Trateragios,337887,444541,405817,38724
90,Tricolisia,Tricolisia Parish,Parish,Orchomenia,#e9d67d,Naucra,74322,118933,108786,10147
91,Lulatia,Lulatia Parish,Parish,Orchomenia,#edd57c,Dererev,795546,588067,552661,35406
92,Bemia,Bemia Parish,Parish,Orchomenia,#ffc174,Nicha,311616,151906,142289,9617
93,Misa,Misa County,County,Porvaval,#dcd3c8,Porvinen,386856,295020,266500,28520
94,Okevitski,Okevitski County,County,Porvaval,#f9b5c6,Okevitski,323829,208869,182126,26743
95,Naratia,Naratia County,County,Porvaval,#f8bebf,Tuurinenlin,1478358,576683,534970,41713
96,Naanki,Naanki Barony,Barony,Porvaval,#d8addc,Naanki,252729,127208,115016,12192
97,Kaspo,Kaspo County,County,Porvaval,#f8bebf,Kaspo,88965,48902,36902,12000
98,Surmaa,Surmaa County,County,Porvaval,#d1b4e5,Kalvanemi,355959,209106,180964,28142
99,Hepiral,Hepiral County,County,Cosomotia,#c1b5d5,Hepiral,104355,137003,115883,21120
100,Torgaz,Torgaz Earldom,Earldom,Cosomotia,#a4ddc9,Torgaz,91089,102566,87462,15104
