Id,State,Full Name,Form,Color,Capital,Culture,Type,Expansionism,Cells,Burgs,Area mi2,Total Population,Rural Population,Urban Population
8,Alcaucia,Republic of Alcaucia,Republic,#ffa262,Somincia,Astellian,Naval,3.1,487,37,3907359,3434962,3119752,315210
19,Orchomenia,Patriarchate of Orchomenia,Patriarchate,#ebb275,Thegeleu,Elladan,Generic,2.5,433,48,3861828,3202216,2892655,309561
20,Porvaval,Porvavalese Empire,Empire,#d8b0cb,Porvinen,Soumi,Nomadic,3.9,348,27,3631239,1724708,1566464,158244
3,Viliersasia,Kingdom of Viliersasia,Kingdom,#8da0cb,Gives,Luari,Generic,4.2,363,28,3321963,1983628,1786931,196697
10,Chip,Chip Theocracy,Theocracy,#ff8dc7,Leton,Angshire,Naval,2.7,296,43,2638395,2928404,2590004,338400
14,Crarigneia,Kingdom of Crarigneia,Kingdom,#ffa162,Bougy,Luari,Generic,3.2,247,33,2481498,2166463,1967387,199076
6,Belinola,Kingdom of Belinola,Kingdom,#ffd92f,Belinola,Tallian,River,3.9,324,18,2477376,1932589,1790455,142134
11,Torbantia,Kingdom of Torbantia,Kingdom,#cdda5b,Alarares,Astellian,Naval,2.7,259,35,2166273,2582976,2252573,330403
0,Neutrals,,,,,,,,192,0,1918521,22136,22136,0
9,Klaukmaa,Principality of Klaukmaa,Principality,#89c4d1,Klauka,Soumi,Nomadic,1.9,179,32,1424313,1975336,1697926,277410
2,Auiersia,Principality of Auiersia,Principality,#fc8d62,Auiersoy,Luari,Generic,1.9,172,21,1349577,1689588,1474017,215571
17,Bienaunin,Principality of Bienaunin,Principality,#ffdd38,Wieben,Shwazen,Generic,1.2,152,22,1236861,1704315,1531976,172339
13,Nesplia,Republic of Nesplia,Republic,#6ac7c5,Nesploy,Luari,Generic,2.3,161,25,1160424,1610766,1358519,252247
16,Heilerten,Protectorate of Heilerten,Protectorate,#cdda5b,Altin,Shwazen,Generic,2.3,101,13,976734,956352,853435,102917
5,Lonalejasia,Republic of Lonalejasia,Republic,#a6d854,Horzueria,Astellian,Naval,1.6,82,13,663795,685882,570734,115148
7,Zubria,Republic of Zubria,Republic,#6de3aa,Zubruisk,Slovan,Nomadic,2.1,88,12,647019,578632,494003,84629
15,Pane,Protectorate of Pane,Protectorate,#b49ed3,Lepatas,Soumi,Nomadic,2.4,67,8,601020,690223,590282,99941
4,Egnia,Egnian Marches,Marches,#e78ac3,Ferdon,Luari,Generic,2.4,63,5,452718,406225,352629,53596
1,Chadonia,Divine Duchy of Chadonia,Divine Duchy,#66c2a5,Nigy,Luari,Generic,1.2,42,6,388233,459628,371103,88525
18,Luquedia,Most Serene Republic of Luquedia,Most Serene Republic,#ffd04c,Alo,Astellian,Naval,1.1,54,9,343449,560313,467330,92983
12,Aphosia,Heptarchy of Aphosia,Heptarchy,#fff73d,Gortexand,Elladan,Generic,1.9,39,7,290304,422878,346022,76856
21,Cosomotia,Duchy of Cosomotia,Duchy,#abbdc2,Hepiral,Astellian,Naval,1.6,28,5,211266,242277,206053,36224
