Id,Burg,Province,Province Full Name,State,State Full Name,Culture,Religion,Population,Latitude,Longitude,Elevation (ft),Capital,Port,Citadel,Walls,Plaza,Temple,Shanty Town,City Generator Link
1,Zor,,,Zrigud,Duchy of Zrigud,Ugluk (Orkish),Word of Lazogh,39539,64.09,-83.34,328,capital,port,citadel,walls,plaza,temple,,https://watabou.github.io/city-generator/?name=Zor&population=39539&size=52&seed=2901772940001&river=1&coast=1&farms=0&citadel=1&urban_castle=0&hub=false&plaza=1&temple=1&walls=1&shantytown=0&gates=-1&sea=0.78
2,Ysesiqua,,,Ysesiqua,Grand Duchy of Ysesiqua,Eldar (Elfish),Eldar (Elfish) Religion,8146,46.49,0.74,13,capital,port,citadel,walls,,,,https://watabou.github.io/city-generator/?name=Ysesiqua&population=8146&size=29&seed=2901772940002&river=1&coast=1&farms=1&citadel=1&urban_castle=1&hub=false&plaza=0&temple=0&walls=1&shantytown=0&gates=-1&sea=0.8
3,Nelgor,Golgag,Golgag County,Ekh,Kingdom of Ekh,Ugluk (Orkish),Ugluk (Orkish)ism,45600,65.52,-126.53,643,capital,,citadel,walls,plaza,temple,shanty town,https://watabou.github.io/city-generator/?name=Nelgor&population=45600&size=55&seed=2901772940003&river=1&coast=0&farms=1&citadel=1&urban_castle=0&hub=false&plaza=1&temple=1&walls=1&shantytown=1&gates=-1
4,Kindus,Zad,Zad County,Shumunz,Kingdom of Shumunz,Khazadur (Dwarven),Khazadur (Dwarven) Spirits,13019,33.4,-131.39,7559,capital,,citadel,walls,plaza,,,https://watabou.github.io/city-generator/?name=Kindus&population=13019&size=34&seed=2901772940004&river=1&coast=0&farms=1&citadel=1&urban_castle=1&hub=false&plaza=1&temple=0&walls=1&shantytown=0&gates=-1
5,Kyhasesath,,,Arilaurtha,City-state of Arilaurtha,Eldar (Elfish),Eldar (Elfish) Religion,5857,55.37,13.36,52,capital,port,citadel,walls,plaza,,,https://watabou.github.io/city-generator/?name=Kyhasesath&population=5857&size=25&seed=2901772940005&river=1&coast=1&farms=1&citadel=1&urban_castle=0&hub=false&plaza=1&temple=0&walls=1&shantytown=0&gates=-1&sea=0.63
6,Bhakh,Bhakh,Bhakh Barony,Nugekh,Nugekh Empire,Ugluk (Orkish),Ugluk (Orkish)ism,4486,73.81,-128.87,472,capital,,citadel,walls,,,,https://watabou.github.io/city-generator/?name=Bhakh&population=4486&size=23&seed=2901772940006&river=1&coast=0&farms=1&citadel=1&urban_castle=1&hub=false&plaza=0&temple=0&walls=1&shantytown=0&gates=-1
7,Bror,,,Mub,Duchy of Mub,Ugluk (Orkish),Ugluk (Orkish)ism,48261,54.05,-102.34,328,capital,port,citadel,walls,plaza,temple,shanty town,https://watabou.github.io/city-generator/?name=Bror&population=48261&size=56&seed=2901772940007&river=1&coast=1&farms=1&citadel=1&urban_castle=0&hub=false&plaza=1&temple=1&walls=1&shantytown=1&gates=-1&sea=0.86
8,Tanthor,Nurmerlyrion,Nurmerlyrion County,Bleuroth,Principality of Bleuroth,Rake (Drakonic),Jarhanlian Occultism,30150,6.55,44.78,161,capital,,citadel,walls,plaza,temple,shanty town,https://watabou.github.io/city-generator/?name=Tanthor&population=30150&size=47&seed=2901772940008&river=1&coast=0&farms=1&citadel=1&urban_castle=1&hub=false&plaza=1&temple=1&walls=1&shantytown=1&gates=-1
9,Bulb,Ugh,Ugh Deanery,Bulb,Bulb Theocracy,Ugluk (Orkish),Ugluk (Orkish)ism,52004,61.52,-127.29,948,capital,,citadel,walls,plaza,temple,shanty town,https://watabou.github.io/city-generator/?name=Bulb&population=52004&size=58&seed=2901772940009&river=1&coast=0&farms=1&citadel=1&urban_castle=0&hub=false&plaza=1&temple=1&walls=1&shantytown=1&gates=-1
10,Ryuergond,,,Nynead,Duchy of Nynead,Eldar (Elfish),Eldar (Elfish) Religion,15538,46.39,5.04,30,capital,,citadel,walls,,,,https://watabou.github.io/city-generator/?name=Ryuergond&population=15538&size=37&seed=2901772940010&river=1&coast=0&farms=1&citadel=1&urban_castle=1&hub=false&plaza=0&temple=0&walls=1&shantytown=0&gates=-1
