province;red;green;blue;x;x
1;184;110;86;Bricy;x
2;242;21;194;Noyereuilerel;x
3;240;86;104;Ramous;x
4;54;125;22;Cerdoulmiel;x
5;128;223;73;Damareau;x
6;127;83;92;Merin;x
7;92;162;179;Tivervoy;x
8;125;52;46;Chate;x
9;101;108;193;Chatererdon;x
10;180;32;164;Cortrtenay;x
11;137;196;126;Seichouile;x
12;230;224;209;Bardongyleslo;x
13;174;117;156;Neuvieilely;x
14;65;31;3;Clery;x
15;123;158;153;Migne;x
16;100;200;86;Pithives;x
17;12;155;229;Bardozierevil;x
18;88;244;44;Sompusulala;x
19;251;39;56;Nioltsainen;x
20;232;174;146;Kelikerava;x
21;33;192;173;Rovanuorga;x
22;221;51;242;Hirmuonala;x
23;224;210;42;Kehralankyk;x
24;228;147;199;Valgalainen;x
25;201;227;40;Ahtarerava;x
26;156;183;244;Nokia;x
27;48;117;157;Kasnaraus;x
28;203;111;166;Laitisakul;x
29;201;141;74;Kauninekosk;x
30;185;24;65;Musalu;x
31;105;170;229;Numataantal;x
32;143;21;27;Hamenki;x
33;232;244;251;Laurijarvi;x
34;58;186;241;Emasaanpalo;x
35;223;101;176;Bjorki;x
36;228;145;213;Lituri;x
37;149;8;159;Rapiniornio;x
38;172;50;154;Ahtarmulat;x
39;100;69;26;Klaukabole;x
40;113;107;195;Newentefra;x
41;134;44;87;Skipsmouth;x
42;218;200;83;Knareham;x
43;195;109;215;Thaxtongton;x
44;100;168;32;Maldord;x
45;78;71;139;Hinckinver;x
46;17;176;53;Pontermout;x
47;150;221;128;Winchester;x
48;170;237;142;Leighwel;x
49;61;65;7;Wiganea;x
50;253;67;126;Kilkham;x
51;54;15;247;Stapldclif;x
52;56;165;199;Newbughip;x
53;158;81;136;Hitcherlei;x
54;62;78;164;Mouseldon;x
55;124;234;235;Tregoreham;x
56;186;113;229;Hertford;x
57;135;89;114;Domineravas;x
58;231;44;84;Aldearrijos;x
59;116;10;244;Ledancia;x
60;11;136;232;Saltamaldon;x
61;213;157;71;Oakhamburg;x
62;216;223;199;Wigmonglet;x
63;29;241;129;Thaxth;x
64;16;252;4;Kilkhiney;x
65;13;119;39;Chisburgh;x
66;203;156;82;Amersouthwn;x
67;10;138;12;Newbiverto;x
68;161;205;65;Burtortsmon;x
69;216;34;240;Boscanterb;x
70;14;56;100;Manethenley;x
71;205;94;73;Chawleching;x
72;240;26;197;Henlewent;x
73;254;252;209;Ardonces;x
74;159;156;120;Huisuly;x
75;16;107;250;Amillescren;x
76;151;88;2;Moulourtem;x
77;11;38;157;Taveravant;x
78;173;88;156;Lorcy;x
79;139;244;119;Clery;x
80;18;183;83;Bazochoux;x
81;19;239;205;Vieiliardon;x
82;205;46;208;Combrevileung;x
83;202;47;54;Mormar;x
84;9;94;115;Ervau;x
85;47;197;99;Suladon;x
86;115;120;191;Miraboynes;x
87;66;155;31;Chevaingy;x
88;49;139;182;Vilesigny;x
89;30;16;201;Thouilly;x
90;20;14;176;Favery;x
91;26;111;238;Trinais;x
92;19;38;140;Moulilly;x
93;74;208;151;Orleartena;x
94;172;242;197;Jargeaulay;x
95;25;201;78;Merins;x
96;239;215;22;Lieksastam;x
97;90;37;63;Pioltungsun;x
98;151;104;223;Hirmulatapa;x
99;113;188;240;Harja;x
100;210;18;117;Jokikieksas;x
101;130;126;83;Mataste;x
102;110;33;220;Kauha;x
103;253;180;56;Kolhonalat;x
104;84;218;15;Kiurumakila;x
105;73;224;207;Vahtiainen;x
106;236;190;91;Kivisamaki;x
107;119;73;168;Uttoinespo;x
108;134;79;167;Toturinenki;x
109;172;91;218;Oulaimio;x
110;5;232;240;Pertumsa;x
111;2;174;202;Riorva;x
112;77;201;56;Koskungsun;x
113;164;105;140;Forsauesama;x
114;84;235;175;Turivisuo;x
115;134;174;213;Ylikerumak;x
116;235;45;164;Nuorgsunde;x
117;181;202;139;Virvieska;x
118;28;20;247;Virgamantio;x
119;114;9;22;Kasna;x
120;195;219;253;Kankaavola;x
121;161;168;53;Unarinen;x
122;7;49;16;Saloki;x
123;80;129;167;Varkamala;x
124;212;25;246;Lankirasa;x
125;77;169;26;Herbachasel;x
126;188;125;224;Hereicherg;x
127;120;215;193;Schon;x
128;211;240;22;Rastalof;x
129;207;82;178;Wolfach;x
130;40;105;8;Oberbalsbad;x
131;176;44;44;Braunheim;x
132;163;27;199;Schenweile;x
133;200;31;2;Bosin;x
134;18;18;65;Dobellingel;x
135;228;239;54;Schallingeim;x
136;40;63;243;Waldarmers;x
137;133;159;114;Freudingen;x
138;151;231;116;Cockedeley;x
139;84;98;56;Bridley;x
140;34;177;79;Amerstbury;x
141;30;53;172;Chawleobur;x
142;238;235;64;Kenilesfiel;x
143;134;238;248;Leighester;x
144;48;204;2;Boshead;x
145;38;114;10;Boscakhame;x
146;137;182;195;Altridalton;x
147;174;118;5;Midhuton;x
148;218;10;216;Seaforough;x
149;109;25;138;Basinewbory;x
150;149;75;247;Frampaignt;x
151;178;119;184;Gateskirk;x
152;206;90;214;Bungastle;x
153;91;105;142;Maldorford;x
154;43;49;240;Stapliford;x
155;175;117;84;Mousewbury;x
156;233;82;24;Horshfield;x
157;218;3;26;Avetosolihu;x
158;89;215;128;Towcedon;x
159;102;187;25;Tutbury;x
