province;red;green;blue;x;x
0;31;255;255;name11;x
1;27;255;255;name11;x
2;30;255;255;name11;x
3;30;255;255;name11;x
4;28;255;255;name11;x
5;28;255;255;name11;x
6;29;255;255;name11;x
7;30;255;255;name11;x
8;32;255;255;name11;x
9;32;255;255;name11;x
10;32;255;255;name11;x
11;33;125;0;name12;x
12;36;125;0;name12;x
13;31;255;255;name11;x
14;31;255;255;name11;x
15;32;255;255;name11;x
16;32;255;255;name11;x
17;32;255;255;name11;x
18;33;125;0;name13;x
19;32;255;255;name11;x
20;33;125;0;name13;x
21;32;125;0;name13;x
22;33;125;0;name13;x
23;33;125;0;name14;x
24;33;125;0;name14;x
25;34;125;0;name14;x
26;34;125;0;name14;x
27;33;125;0;name14;x
28;34;125;0;name14;x
29;33;125;0;name15;x
30;34;125;0;name15;x
31;34;125;0;name15;x
32;34;125;0;name15;x
33;35;125;0;name15;x
34;42;125;0;name16;x
35;43;125;0;name16;x
36;44;125;0;name16;x
37;36;125;0;name16;x
38;38;125;0;name16;x
39;35;125;0;name16;x
40;34;125;0;name16;x
41;34;125;0;name16;x
42;36;125;0;name16;x
43;42;125;0;name17;x
44;42;125;0;name17;x
45;38;125;0;name17;x
46;32;255;255;name11;x
47;33;125;0;name17;x
48;32;255;255;name11;x
49;32;125;0;name18;x
50;32;125;0;name18;x
51;32;125;0;name18;x
52;33;125;0;name18;x
53;33;125;0;name18;x
54;32;125;0;name18;x
55;33;125;0;name18;x
56;33;125;0;name18;x
57;32;125;0;name18;x
58;32;255;255;name11;x
59;32;255;255;name11;x
60;32;255;255;name11;x
61;32;255;255;name11;x
62;32;255;255;name11;x
63;32;255;255;name11;x
64;32;255;255;name11;x
65;32;255;255;name11;x
66;32;255;255;name11;x
67;32;255;255;name11;x
68;32;255;255;name11;x
69;32;255;255;name11;x
70;34;125;0;name19;x
71;32;255;255;name11;x
72;32;255;255;name11;x
73;32;255;255;name11;x
74;32;255;255;name11;x
75;32;255;255;name11;x
76;32;255;255;name11;x
77;32;255;255;name11;x
78;32;255;255;name11;x
79;32;255;255;name11;x
80;23;255;255;name11;x
81;0;255;255;name11;x
82;0;255;255;name11;x
83;0;255;255;name11;x
84;0;255;255;name11;x
85;0;255;255;name11;x
86;17;255;255;name11;x
87;31;255;255;name11;x
88;29;255;255;name11;x
89;30;255;255;name11;x
90;41;125;0;name20;x
91;33;125;0;name20;x
92;32;255;255;name11;x
93;39;125;0;name21;x
94;43;125;0;name21;x
95;46;125;0;name21;x
96;43;125;0;name21;x
97;34;125;0;name21;x
98;34;125;0;name21;x
99;32;255;255;name11;x
100;31;255;255;name11;x
101;32;255;255;name11;x
102;36;125;0;name22;x
103;32;255;255;name11;x
104;31;255;255;name11;x
105;36;125;0;name23;x
106;36;125;0;name23;x
107;34;125;0;name23;x
108;41;125;0;name23;x
109;47;125;0;name23;x
110;66;125;0;name23;x
111;64;125;0;name23;x
112;46;125;0;name24;x
113;32;255;255;name11;x
114;0;255;255;name11;x
115;0;255;255;name11;x
116;30;255;255;name11;x
117;32;255;255;name11;x
118;36;125;0;name25;x
119;109;125;0;name25;x
120;234;125;0;name11;x
121;255;125;0;name11;x
122;255;125;0;name11;x
123;255;125;0;name11;x
124;255;125;0;name11;x
125;255;125;0;name11;x
126;255;125;0;name11;x
127;255;125;0;name11;x
